Survived,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Embarked_U,Pclass_1,Pclass_2,Pclass_3,"Categorized_age_(0, 10]","Categorized_age_(10, 20]","Categorized_age_(20, 30]","Categorized_age_(30, 40]","Categorized_age_(40, 50]","Categorized_age_(50, 60]","Categorized_age_(60, 70]","Categorized_age_(70, 80]"
0,1,0,7.25,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
1,1,0,71.2833,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
1,0,0,7.925,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
1,1,0,53.1,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
0,0,0,8.05,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
0,0,0,8.4583,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
0,0,0,51.8625,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
0,3,1,21.075,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
1,0,2,11.1333,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
1,1,0,30.0708,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False
1,1,1,16.7,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
1,0,0,26.55,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
0,0,0,8.05,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
0,1,5,31.275,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
0,0,0,7.8542,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
1,0,0,16.0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
0,4,1,29.125,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False
1,0,0,13.0,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
0,1,0,18.0,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
1,0,0,7.225,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
0,0,0,26.0,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
1,0,0,13.0,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
1,0,0,8.0292,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
1,0,0,35.5,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
0,3,1,21.075,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
1,1,5,31.3875,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
0,0,0,7.225,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
0,3,2,263.0,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
1,0,0,7.8792,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
0,0,0,7.8958,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
0,0,0,27.7208,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
1,1,0,146.5208,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
1,0,0,7.75,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
0,0,0,10.5,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
0,1,0,82.1708,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0,1,0,52.0,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
1,0,0,7.2292,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
0,0,0,8.05,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
0,2,0,18.0,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
1,1,0,11.2417,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
0,1,0,9.475,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
0,1,0,21.0,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
0,0,0,7.8958,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
1,1,2,41.5792,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
1,0,0,7.8792,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
0,0,0,8.05,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
0,1,0,15.5,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
1,0,0,7.75,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
0,2,0,21.6792,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
0,1,0,17.8,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
0,4,1,39.6875,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
0,0,0,7.8,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
1,1,0,76.7292,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1,1,0,26.0,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
0,0,1,61.9792,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1,0,0,35.5,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1,0,0,10.5,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
0,0,0,7.2292,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
1,1,2,27.75,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
0,5,2,46.9,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
0,0,0,7.2292,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
1,0,0,80.0,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
0,1,0,83.475,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
0,3,2,27.9,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
0,0,0,27.7208,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
1,1,1,15.2458,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
1,0,0,10.5,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
0,0,0,8.1583,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
1,4,2,7.925,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
0,2,0,8.6625,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
0,0,0,10.5,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
0,5,2,46.9,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
0,0,0,73.5,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
0,1,0,14.4542,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
1,0,0,56.4958,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
0,0,0,7.65,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
0,0,0,7.8958,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
0,0,0,8.05,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
1,0,2,29.0,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
1,0,0,12.475,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
0,0,0,9.0,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
1,0,0,9.5,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
1,0,0,7.7875,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
0,0,0,47.1,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
1,0,0,10.5,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1,3,0,15.85,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
0,1,3,34.375,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
0,0,0,8.05,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
1,3,2,263.0,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
0,0,0,8.05,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
0,0,0,8.05,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
0,0,0,7.8542,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
0,1,0,61.175,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
0,1,2,20.575,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
0,0,0,7.25,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
0,0,0,8.05,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
0,0,0,34.6542,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1,0,1,63.3583,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
1,0,1,23.0,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
0,1,0,26.0,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
0,0,0,7.8958,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
0,0,0,7.8958,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
0,0,1,77.2875,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
0,0,0,8.6542,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
0,2,0,7.925,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
0,0,0,7.8958,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
1,0,0,7.65,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
1,0,0,7.775,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
0,0,0,7.8958,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
1,1,0,24.15,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
0,0,0,52.0,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
0,1,0,14.4542,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
0,0,0,8.05,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
0,1,0,9.825,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
0,0,0,14.4583,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
0,0,0,7.925,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
0,0,0,7.75,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
0,1,0,21.0,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
0,0,1,247.5208,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0,4,2,31.275,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
0,2,0,73.5,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
0,0,0,8.05,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
0,1,0,30.0708,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
1,0,0,13.0,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
0,0,1,77.2875,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
1,1,0,11.2417,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
0,0,0,7.75,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
1,0,0,7.1417,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
1,1,1,22.3583,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
0,0,0,6.975,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
0,0,0,7.8958,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
0,0,0,7.05,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
0,1,0,14.5,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
1,1,0,26.0,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
